popularity,track,album_name,artist,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
22,Eyes of Abomination,Amaranthine Redolence,Malodorous,126000,TRUE,0.307,0.822,9,-5.284,1,0.094,4.44e-4,0.194,0.121,0.227,67.85,126000,4
44,You Can't Stop Me,You Can't Stop Me,Suicide Silence,247840,TRUE,0.234,0.962,6,-4.806,1,0.263,4.24e-6,0.0485,0.121,0.176,173.4,247840,4
49,Fuck Everything,The Black Crown,Suicide Silence,273613,TRUE,0.479,0.96,10,-4.866,0,0.108,8.68e-4,5.07e-4,0.37,0.193,94.122,273613,4
14,Where Shadows Forever Reign,Where Shadows Forever Reign,Dark Funeral,332974,FALSE,0.413,0.994,6,-5.624,0,0.078,1.78e-5,0.443,0.212,0.0295,110.036,332974,4
37,Toxic Boombox,Rock the Fuck On Forever,Angel Du$t,88214,TRUE,0.315,0.917,4,-5.667,0,0.0546,0.00162,0.0214,0.798,0.573,129.961,88214,5
42,Get Your Body Beat,What the F^^k is Wrong With You People?,Combichrist,289560,TRUE,0.609,0.996,0,-4.701,1,0.0598,0.0275,0.0209,0.265,0.385,119.987,289560,4
31,Beautiful Delilah,Kinks,The Kinks,125120,FALSE,0.506,0.95,7,-3.895,0,0.0648,0.137,0,0.346,0.735,117.484,125120,4
29,So Mystifying,Kinks,The Kinks,173173,FALSE,0.614,0.947,7,-5.945,1,0.0402,0.0231,1.47e-4,0.256,0.846,108.036,173173,4
28,Just Can't Go to Sleep - Mono Mix,Kinks,The Kinks,118960,FALSE,0.733,0.899,7,-5.842,1,0.0321,0.537,9.19e-6,0.143,0.936,119.069,118960,4
29,Long Tall Shorty,Kinks,The Kinks,171826,FALSE,0.667,0.792,0,-6.008,1,0.0809,0.516,1.37e-4,0.0801,0.77,175.401,171827,4
28,I Took My Baby Home,Kinks,The Kinks,109026,FALSE,0.356,0.969,9,-4.006,1,0.3,0.507,0,0.314,0.602,161.014,109027,4
28,I'm a Lover Not a Fighter,Kinks,The Kinks,123520,FALSE,0.7,0.966,2,-4.957,1,0.0622,0.059,1.19e-4,0.096,0.57,119.198,123520,4
72,You Really Got Me - Mono Mix,Kinks,The Kinks,134253,FALSE,0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253,4
27,Cadillac,Kinks,The Kinks,164600,FALSE,0.421,0.828,4,-5.504,1,0.1,0.494,0,0.103,0.752,120.755,164600,4
27,Bald Headed Woman,Kinks,The Kinks,161626,FALSE,0.612,0.792,2,-6.955,1,0.0493,0.109,0.00394,0.0748,0.335,105.126,161627,4
26,Revenge - Mono Mix,Kinks,The Kinks,89573,FALSE,0.577,0.875,5,-4.612,0,0.0375,0.0199,0.0252,0.13,0.966,146.562,89573,4
26,Too Much Monkey Business,Kinks,The Kinks,135240,FALSE,0.599,0.822,5,-5.26,0,0.226,0.465,0,0.0545,0.921,98.469,135240,4
24,I've Been Driving On Bald Mountain,Kinks,The Kinks,122186,FALSE,0.478,0.882,7,-4.986,1,0.053900000000000003,0.265,0,0.542,0.885,186.408,122187,4
34,Stop Your Sobbing,Kinks,The Kinks,125893,FALSE,0.712,0.812,7,-7.691,1,0.0332,0.126,3.43e-5,0.207,0.967,121.983,125893,4
28,Got Love if You Want It - Mono Mix,Kinks,The Kinks,226053,FALSE,0.599,0.785,5,-4.756,0,0.0747,0.0358,1.03e-5,0.25,0.801,89.108,226053,4
27,Long Tall Sally - Mono Mix,Kinks,The Kinks,131813,FALSE,0.443,0.95,11,-3.702,0,0.135,0.211,0,0.134,0.611,143.522,131813,4
26,You Still Want Me - Mono Mix,Kinks,The Kinks,118320,FALSE,0.546,0.901,4,-6.31,1,0.17,0.699,0,0.252,0.745,146.293,118320,4
25,You Do Something to Me,Kinks,The Kinks,143906,FALSE,0.393,0.907,9,-6.298,0,0.0919,0.356,0,0.606,0.834,163.447,143907,4
24,It's All Right,Kinks,The Kinks,156040,FALSE,0.236,0.9,7,-5.95,1,0.0464,0.213,0,0.364,0.777,180.617,156040,4
69,All Day and All of the Night,Kinks,The Kinks,141506,FALSE,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57e-6,0.0558,0.723,136.921,141507,4
29,I Gotta Move,Kinks,The Kinks,143746,FALSE,0.617,0.888,5,-7.417,1,0.032,0.236,1.63e-4,0.107,0.973,103.762,143747,4
32,Louie Louie,Kinks,The Kinks,177480,FALSE,0.574,0.659,9,-7.657,1,0.0512,0.0902,0,0.081,0.504,58.864,177480,4
23,I Gotta Go Now,Kinks,The Kinks,173226,FALSE,0.571,0.514,9,-9.876,1,0.0481,0.227,1.01e-5,0.0709,0.651,106.363,173227,4
22,Things Are Getting Better,Kinks,The Kinks,114600,FALSE,0.559,0.869,2,-6.717,1,0.102,0.189,0,0.0716,0.451,118.696,114600,4
24,I've Got That Feeling,Kinks,The Kinks,162600,FALSE,0.574,0.763,6,-8.454,0,0.0389,0.187,0,0.0892,0.852,127.698,162600,4
22,Too Much Monkey Business - Alternate Take,Kinks,The Kinks,127893,FALSE,0.562,0.878,5,-4.146,1,0.147,0.0213,0,0.369,0.958,117.194,127893,4
23,I Don't Need You Anymore,Kinks,The Kinks,130906,FALSE,0.402,0.779,11,-9.889,1,0.058,0.208,0,0.151,0.92,154.169,130907,4
39,Nouvelle journée,Comment c'est loin,Skread,104026,FALSE,0.683,0.459,9,-9.73,0,0.0604,0.0261,0.811,0.11,0.28,194.012,104027,4
